date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2023-09-01,Aguadilla,PR,,Campamiento Pelicano,,,,Citizens' Victory Movement,,"against illegal construction at historic Muelle de Azúcar, salven Aguadilla paren las maquinas revoquen los permisos [save Aguadilla stop the machines revoke the permits], las playas son del pueblo [the beaches belong to the people]",0,demonstration,,protest encampment,,,,,,,,,,https://twitter.com/Vaquero2XL/status/1610283827099836419,https://twitter.com/Vaquero2XL/status/1620191253060263937,https://twitter.com/Vaquero2XL/status/1620442773550923778,https://twitter.com/latinorebels/status/1623821705662832640,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Alton,IL,West Elementary School; Alton High School,,,,,Alton Education Association,parents; community members; students; teachers,"against violence in schools, for safer schools for all students",0,rally,,,,,,,,,,,,https://ieanea.org/2023/08/31/dozens-plan-to-rally-call-for-safe-schools-for-all-at-friday-nights-football-game/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Augusta,GA,Charlie Norwood VA Medical Center,Rally for Respect & Patient Safety,,,,National Nurses Organizing Committee/National Nurses United,registered nurses,"for respect for nurses at Charlie Norwood VA Medical Center, for patient safety, for full staffing, for better work-life balance for nurses",0,rally,,,,,,,,,,,,https://www.nationalnursesunited.org/press/augusta-va-nurses-to-rally-for-respect-of-veterans-and-nurses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Austin,TX,Texas Governor's Mansion,,count video,20,40,Workers Defense Project; Texas AFT; Nonviolent Austin; The Austin Justice Coalition,,"against HB 2127, against Texas Regulatory Consistency Act, against state legislation that prohibits localities from passing laws that conflict with state law, for workers' rights, water for all",0,rally,,singing; filling cups of water,,,,,,,,,ME,https://www.kxan.com/news/new-laws-go-into-effect-groups-rally-against-laws-now-challenged-by-lawsuits/,https://www.kxan.com/video/new-laws-go-into-effect-groups-rally-against-laws-now-challenged-by-lawsuits/8962248/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Bakersfield,CA,,,,,,Poder Latinx,,"for federal immigration reform legislation, for HR 1511",1,demonstration,,petition delivery,,,,,,,,at Kevin McCarthy's office,,https://www.kvpr.org/local-news/2023-09-05/immigration-advocates-push-for-legislation-protest-outside-speaker-mccarthys-offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Bellingham,WA,Magnolia St and Cornwall Ave,Bellingham-Whatcom Peace Vigil,,,,Whatcom Peace & Justice Center,,"for peace, against war",0,vigil,,,,,,,,,,every Friday since 1966,,https://www.whatcompjc.org/friday-afternoon-peace-vigil.html,https://www.facebook.com/WhatcomPeaceVigil/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Boston,MA,Massachusetts State House,Perpetual State House Stand-Out for No New Fossil Fuel Infrastructure,,,,Extinction Rebellion Boston,,"for a state ban on construction of new fossil fuel infrastructure, for urgent climate action",1,demonstration,,,,,,,,,,every business day starting 6/5/23 until governor acts,,https://xrboston.org/action/state-house-stand-out-for-nnffi/,https://twitter.com/XRBoston/status/1666138212702486551,https://statehousestandout.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Brownsville,TX,,,,,,,Texas border grassroots organization members,"against Operation Lone Star, for immigrants rights",1,protest,,,,,,,,,,border-wide protest,ME,https://www.ktsm.com/news/grassroots-groups-protest-along-border-against-operation-lone-star/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Cambridge,MA,Fayette St and Broadway,,,,,New Federal State of China,,"against Luc Despins and his family, against the Communist Party of China, for patriotism, for democracy in America, against communism",2,demonstration,,,,,,,,,,daily since 2022-11-20; org backed by Miles Guo and Steve Bannon; evidence that some protesters are paid,,https://www.cambridgeday.com/2023/02/02/why-an-exiled-chinese-billionaire-has-protesters-outside-the-home-of-a-cambridge-schoolteacher/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,Chicago,IL,Kinzie Hotel,,,,,UNITE HERE! Local 1,hotel workers,for higher pay and better benefits for Kinzie Hotel workers,0,demonstration,,informational picket,,,,,,,,,,https://www.nbcchicago.com/news/local/locked-out-on-labor-day-kinzie-hotel-workers-protest/3220649/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
