Crowd Counting Consortium,,,,,
"Data collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, Harvard U). ",,,,,
"With thanks to Elannah Devin, Katya Hunt, and Marinela Mukollari for assistance compiling sources.",,,,,
We are collecting this data in the public interest and to further scholarly research. We are working with countlove.org to collect data on demonstrations.,,,,,
,,,,,
"To submit information about an action during this timeframe, please click here ",,,,,
,,,,,
Total Marchers US (including 12/6 and 12/17),,,"115,502",,"135,964"
,,,,,
Total Events US Towns & Cities (incl 12/6 & 17),,,"1,396",,
,,,,,
Total Marchers 12/6 (Climate tab),,,"9,504",,"13,104"
,,,,,
Total Events 12/6,,,480,,
,,,,,
Total Marchers 12/17 (Impeach Tab),,,"78,230",,"94,741"
,,,,,
Total Events 12/17,,,599,,
