Crowd Counting Consortium,,,,,,,
"Data collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, Harvard U). ",,,,,,,
"With thanks to Madeleine Chill, Francis Greenwood Jr, Meghan Henderson, Aaron Hooker, Miu Kumakura, Marinela Mukollari, Jennifer Nilsen, and Jonathan Pinckney for assistance compiling sources.",,,,,,,
We are collecting this data in the public interest and to further scholarly research. We are not formally affiliated with any other efforts to collect data on demonstrations.,,,,,,,
,,,,,,,
"To submit information about an action during this timeframe, please click here ",,,,,,,
,,,Low,,High,,
Total Marchers US,,,"840,927",,"1,104,071",,
,,,,,,,
Total Events US Towns & Cities,,,615,,,,"
"
,,,,,,,
Women's March participants (US),,,"675,895",,"746,549",,
,,,, ,,,
Women's March events (US),,,330,(including six scheduled for February or March),,,
,,,,,,,
Women's March (non-US) participants,,,"5,547",,"9,154",,
,,,,,,,
Women's March (non-US) events,,,41,,,,
