Crowd Counting Consortium,,,,,
"Data collection in progress by Jeremy Pressman (@djpressman, U of Connecticut), Erica Chenoweth (@EricaChenoweth, Harvard U), and Ches Thurber (Northern Illinois University ). ",,,,,
"With thanks to Francis Greenwood Jr, Aaron Hooker, Miu Kumakura, Jennifer Nilsen, and Aristotle Vainikos for assistance compiling sources.",,,,,
We are collecting this data in the public interest and to further scholarly research. We are working with countlove.org to collect data on demonstrations.,,,,,
,,,,,
"To submit information about an action during this timeframe, please click here ",,,,,
,,,,,
Total Marchers US (not including climate strike),,,"66,497",,"66,726"
Total Events US Towns & Cities (not climate),,,428,,
Total Marchers US (including climate strike),,,"99,668",,"107,643"
Total Events US Towns & Cities (incl climate),,,650,0,0
,,,,,
Climate Strike marchers (US),,,"33,171",,"40,917"
Climate Strike events (US),,,222,,
,,,,,
Climate Strike marchers (Global),,,"933,589",,"1,994,179"
Climate Strike events (Global),,,"1,944",,
(including some events after March 15),,,,,
