Table 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Participating State and Federal, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total offenses,Crimes against persons,,,,,,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,
Participating state/Federal,,"Murder and
nonnegligent
manslaughter",Rape1,"Aggravated
assault","Simple
assault",Intimidation,Other2,Robbery,Burglary,Larceny-theft,"Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other2,"Crimes
against
society2",,,,,,,,,,,,,,,,,,,
Total,"11,129",22,21,"1,390","2,166","4,119",32,140,132,362,34,67,"2,333",79,232,,,,,,,,,,,,,,,,,,,
Alabama,33,0,0,2,3,4,0,0,2,3,0,0,4,1,14,,,,,,,,,,,,,,,,,,,
Alaska,10,0,1,5,3,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Arizona,332,2,0,54,93,99,3,1,5,5,0,3,62,1,4,,,,,,,,,,,,,,,,,,,
Arkansas,22,0,0,6,2,7,0,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,
California,"1,537",0,2,331,362,358,1,49,13,8,1,13,399,0,0,,,,,,,,,,,,,,,,,,,
Colorado,343,0,0,52,72,105,0,9,9,13,1,3,74,5,0,,,,,,,,,,,,,,,,,,,
Connecticut,126,0,0,9,28,53,0,1,0,3,1,0,29,1,1,,,,,,,,,,,,,,,,,,,
Delaware,18,0,0,0,2,9,0,1,0,0,0,0,5,1,0,,,,,,,,,,,,,,,,,,,
District of Columbia,151,0,0,35,69,24,0,2,0,0,0,0,21,0,0,,,,,,,,,,,,,,,,,,,
Florida,112,0,0,28,38,18,0,1,2,0,0,5,20,0,0,,,,,,,,,,,,,,,,,,,
Georgia,234,0,0,25,56,89,0,0,1,8,2,3,38,6,6,,,,,,,,,,,,,,,,,,,
Hawaii,39,0,0,5,13,16,1,2,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
Idaho,53,0,0,8,18,16,0,1,1,0,0,0,9,0,0,,,,,,,,,,,,,,,,,,,
Illinois,75,1,0,21,21,22,0,0,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,
Indiana,229,0,0,33,65,61,0,2,4,19,2,1,24,5,13,,,,,,,,,,,,,,,,,,,
Iowa,18,0,0,1,7,1,0,1,1,0,0,0,6,0,1,,,,,,,,,,,,,,,,,,,
Kansas,156,0,0,24,11,38,1,1,2,9,1,2,49,5,13,,,,,,,,,,,,,,,,,,,
Kentucky,229,0,2,12,52,96,1,3,2,3,2,3,50,0,3,,,,,,,,,,,,,,,,,,,
Louisiana,53,0,0,17,16,1,0,1,2,1,0,0,7,0,8,,,,,,,,,,,,,,,,,,,
Maine,93,0,0,6,12,24,0,0,0,29,0,1,20,0,1,,,,,,,,,,,,,,,,,,,
Maryland,45,0,0,10,8,3,0,3,0,0,0,0,21,0,0,,,,,,,,,,,,,,,,,,,
Massachusetts,351,0,0,41,65,97,1,0,1,18,0,0,123,2,3,,,,,,,,,,,,,,,,,,,
Michigan,453,0,1,52,109,189,2,4,6,17,4,1,45,8,15,,,,,,,,,,,,,,,,,,,
Minnesota,232,0,0,44,39,67,1,5,4,12,0,0,57,0,3,,,,,,,,,,,,,,,,,,,
Mississippi,16,0,0,1,8,4,0,0,2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
Missouri,154,0,0,28,55,34,0,1,2,2,0,3,25,0,4,,,,,,,,,,,,,,,,,,,
Montana,29,0,0,3,7,3,2,2,1,1,0,0,10,0,0,,,,,,,,,,,,,,,,,,,
Nebraska,985,0,1,16,11,911,0,0,0,3,0,0,27,0,16,,,,,,,,,,,,,,,,,,,
Nevada,153,1,0,36,48,15,0,4,2,5,3,0,25,0,14,,,,,,,,,,,,,,,,,,,
New Hampshire,24,0,0,2,5,6,0,0,1,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,
New Jersey,389,0,0,12,26,193,0,2,1,4,0,2,149,0,0,,,,,,,,,,,,,,,,,,,
New Mexico,78,0,1,14,28,8,0,2,2,2,0,0,19,0,2,,,,,,,,,,,,,,,,,,,
New York,466,1,0,32,149,21,0,7,9,10,0,0,237,0,0,,,,,,,,,,,,,,,,,,,
North Carolina,243,1,3,34,45,86,1,3,3,7,0,0,53,1,6,,,,,,,,,,,,,,,,,,,
North Dakota,29,0,0,3,11,8,1,0,1,1,0,0,3,1,0,,,,,,,,,,,,,,,,,,,
Ohio,633,0,4,51,118,166,5,11,19,81,9,3,112,14,40,,,,,,,,,,,,,,,,,,,
Oklahoma,9,0,0,1,2,3,0,0,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,
Oregon,324,0,0,31,72,92,1,2,6,8,1,0,104,3,4,,,,,,,,,,,,,,,,,,,
Pennsylvania,91,0,0,8,7,38,0,1,0,1,1,1,32,1,1,,,,,,,,,,,,,,,,,,,
Rhode Island,16,0,0,1,5,1,0,0,1,1,0,0,7,0,0,,,,,,,,,,,,,,,,,,,
South Carolina,130,0,1,26,25,21,1,1,3,12,0,0,18,3,19,,,,,,,,,,,,,,,,,,,
South Dakota,19,0,0,2,9,4,0,1,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,
Tennessee,93,0,0,20,17,38,0,1,1,1,0,0,14,0,1,,,,,,,,,,,,,,,,,,,
Texas,467,1,4,88,119,94,3,5,11,17,1,3,106,6,9,,,,,,,,,,,,,,,,,,,
Utah,51,0,0,1,13,6,4,0,1,6,0,1,12,4,3,,,,,,,,,,,,,,,,,,,
Vermont,64,0,0,4,8,4,1,0,1,12,1,0,31,2,0,,,,,,,,,,,,,,,,,,,
Virginia,193,0,1,10,60,36,0,0,0,4,0,1,77,1,3,,,,,,,,,,,,,,,,,,,
Washington,526,0,0,52,101,219,0,6,7,20,3,3,106,5,4,,,,,,,,,,,,,,,,,,,
West Virginia,58,0,0,4,11,5,1,2,2,10,1,0,6,1,15,,,,,,,,,,,,,,,,,,,
Wisconsin,88,2,0,17,22,15,1,0,0,3,0,0,21,2,5,,,,,,,,,,,,,,,,,,,
Wyoming,21,0,0,3,9,5,0,0,0,1,0,0,3,0,0,,,,,,,,,,,,,,,,,,,
Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal Bureau of Investigation, Field Offices",832,13,0,69,11,682,0,1,0,1,0,15,40,0,0,,,,,,,,,,,,,,,,,,,
Pentagon Force Protection Agency,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
United States Marine Corps Law Enforcement,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
1 Only the revised Uniform Crime Reporting definition of rape was used for the figures shown in this column. See the downloadable Methodology file for further explanation. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 The figures shown include additional offenses collected in the National Incident-Based Reporting System. See the downloadable Methodology file for further information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
