Table 11,,,,,,,,,,,,,,,,
Offenses,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,
"by Participating State, Territory, and Federal, 2022",,,,,,,,,,,,,,,,
Participating State/Territory/Federal,"Total
offenses",Crimes against persons,,,,,,,Crimes against property,,,,,,,"Crimes
against
society1"
,,"Murder and
nonnegligent
manslaughter",Rape,"Aggravated
assault","Simple
assault",Intimidation,"Human 
Trafficking",Other1,Robbery,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Total,"13,337",33,21,"1,561","3,111","4,023",2,59,169,169,562,62,51,"3,088",144,282
Alabama,254,1,2,31,66,37,0,0,1,10,29,5,1,45,11,15
Alaska,5,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
Arizona,225,0,0,36,75,58,0,1,2,3,4,0,3,42,0,1
Arkansas,38,0,0,7,8,8,0,0,0,0,5,0,0,4,2,4
California,"2,261",3,3,435,538,510,0,6,72,12,18,2,13,638,3,8
Colorado,389,5,0,50,98,99,0,0,3,10,24,4,3,77,11,5
Connecticut,101,0,0,6,27,36,0,0,0,2,3,0,3,21,2,1
Delaware,16,0,0,0,2,4,0,0,0,0,0,0,0,10,0,0
District of Columbia,167,0,0,20,69,51,0,2,2,1,0,0,0,22,0,0
Florida,166,0,0,35,66,14,0,0,2,2,4,0,0,40,1,2
Georgia,225,0,1,20,75,62,0,4,1,4,7,4,1,37,6,3
Hawaii,36,0,0,11,6,18,0,0,1,0,0,0,0,0,0,0
Idaho,47,0,0,10,10,17,0,1,0,1,2,0,1,4,1,0
Illinois,382,0,1,28,91,112,0,2,6,5,29,1,0,95,8,4
Indiana,194,2,0,15,57,67,0,0,1,1,12,0,0,25,4,10
Iowa,77,0,0,7,11,26,0,1,0,2,4,1,0,25,0,0
Kansas,134,0,1,9,17,31,0,1,0,2,11,1,1,38,6,16
Kentucky,181,1,0,11,51,75,0,2,1,4,6,0,0,28,0,2
Louisiana,80,0,0,1,29,8,0,5,1,1,9,0,0,10,2,14
Maine,92,0,0,1,15,43,0,0,0,1,7,0,0,25,0,0
Maryland,242,0,0,38,67,23,0,0,5,2,12,2,1,82,3,7
Massachusetts,525,0,0,71,126,165,0,1,5,1,13,0,1,139,3,0
Michigan,502,0,1,59,122,198,0,2,3,9,21,3,2,66,3,13
Minnesota,198,0,0,29,63,46,0,2,2,2,2,0,2,49,1,0
Mississippi,32,0,0,3,12,5,0,0,0,0,3,1,0,1,2,5
Missouri,252,2,1,55,60,63,0,3,1,6,13,5,0,35,4,4
Montana,16,0,0,4,3,4,0,0,1,0,0,0,0,4,0,0
Nebraska,82,0,0,9,18,27,0,0,1,1,9,0,0,15,0,2
Nevada,115,0,0,23,26,21,0,1,1,3,3,2,0,30,1,4
New Hampshire,30,0,0,0,4,7,0,0,0,1,1,0,0,16,0,1
New Jersey,"1,193",1,0,12,73,827,0,0,4,2,9,0,1,259,0,5
New Mexico,50,0,1,11,9,16,0,0,1,0,4,1,0,6,0,1
New York,964,0,1,90,282,115,0,0,12,10,21,0,2,428,0,3
North Carolina,358,0,0,29,77,104,0,5,2,13,15,3,3,69,15,23
North Dakota,29,0,0,1,5,22,0,0,0,0,0,0,0,1,0,0
Ohio,591,0,6,44,123,143,1,2,2,22,81,11,2,100,17,37
Oklahoma,79,0,0,12,20,36,0,0,1,0,3,0,1,6,0,0
Oregon,364,0,0,59,80,107,0,1,3,6,6,0,2,84,1,15
Pennsylvania,313,0,0,27,70,135,0,1,6,3,15,1,1,47,5,2
Rhode Island,17,0,0,0,2,7,0,0,0,0,0,0,0,8,0,0
South Carolina,68,0,0,3,15,14,0,0,0,1,6,1,0,12,3,13
South Dakota,19,0,0,2,7,4,0,0,0,0,0,0,0,4,0,2
Tennessee,126,0,1,16,39,43,0,1,2,0,1,0,0,19,1,3
Texas,669,2,1,86,166,172,0,5,12,13,54,3,2,119,13,21
Utah,131,0,0,5,37,18,0,0,0,2,14,0,1,48,1,5
Vermont,54,1,0,4,13,10,0,1,0,0,7,0,1,16,0,1
Virginia,211,0,0,8,81,44,0,1,1,3,3,0,1,64,2,3
Washington,652,0,1,71,129,272,0,2,8,6,34,8,1,113,2,5
West Virginia,59,0,0,3,14,7,0,0,0,2,15,1,0,8,3,6
Wisconsin,163,0,0,21,29,39,0,1,1,0,22,1,1,32,3,13
Wyoming,29,0,0,1,15,6,0,0,0,0,1,0,0,6,0,0
Territories,,,,,,,,,,,,,,,,
Guam,6,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0
Federal,,,,,,,,,,,,,,,,
Federal Bureau of Investigation,104,15,0,32,1,36,1,5,2,0,0,0,0,7,3,2
National Institute of Health,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
United States Air Force Security Police ,7,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0
United States Department of Veterans Affairs Police Service,11,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0
United States Forest Service,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
United States Treasury Inspector General for Tax Administration,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1 The figures shown include additional offenses collected in the National Incident-Based Reporting System. See the downloadable Methodology file for further information.,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,
