date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2023-07-01,Aguadilla,PR,,Campamiento Pelicano,,,,Citizens' Victory Movement,,"against illegal construction at historic Muelle de Azúcar, salven Aguadilla paren las maquinas revoquen los permisos [save Aguadilla stop the machines revoke the permits], las playas son del pueblo [the beaches belong to the people]",0,demonstration,,protest encampment,,,,,,,,,,https://twitter.com/Vaquero2XL/status/1610283827099836419,https://twitter.com/Vaquero2XL/status/1620191253060263937,https://twitter.com/Vaquero2XL/status/1620442773550923778,https://twitter.com/latinorebels/status/1623821705662832640,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Ann Arbor,MI,Beth Israel Congregation,,,,,,,"for antisemitism, against Israel and Zionism",2,demonstration,,,,,,,,,,every Saturday since 2003,,https://forward.com/fast-forward/512599/lawyer-in-michigan-synagogue-judge-of-being-antisemitic/,https://jweekly.com/2022/08/11/born-and-raised-jewish-the-man-leading-19-years-of-protests-against-a-michigan-synagogue-embraces-antisemitic-tropes/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Antioch,CA,2717 Contra Loma Blvd,40 Week Journey of Hope,,,,Love Life,,"against abortion, for Christian values",2,rally,,prayer rally,,,,,,,,every Saturday from Feb 11 to Nov 11 2023,,https://lovelife.org/locations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Atlanta,GA,"890 Memorial Dr; Atlanta Police Training Facility, 180 Southside Industrial Pkwy SE",,,,,March 5 Movement,vengeful wing nuts,"against construction of Cop City police training facility in Atlanta Forest, for environmental conservation, against police brutality, against racism",1,direct action,,,,,,burned several police motorcycles; vandalized several police vehicles,,,,,,https://twitter.com/atlanta_press/status/1676616235578978304,https://scenes.noblogs.org/post/2023/07/01/atlanta-police-vehicles-vandalized-motorcycles-near-academy-set-on-fire-overnight/,https://scenes.noblogs.org/post/2023/07/08/reportback-on-2-attacks-on-atlanta-police-department-infrastructure/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Atlanta,GA,Brownwood Park,Weelaunee Youth Rally,over 100,100,100,Students Against Cop City; No Cop City,youth,"against construction of Cop City police training facility in Atlanta Forest, for environmental conservation, against police brutality, against racism, don't cut down the forest / the trees are family, stop Cop City, justice for Jamarion! justice for Osiris! justice for Oscar Cain! justice for Kathryn Johnson!",1,rally; march,,megaphone,,,,,,,,feat. Belkis Teran and Lorraine Fontana,,https://www.instagram.com/p/CthrDj_uao0/,https://twitter.com/atlanta_press/status/1675167292567564290,https://twitter.com/ChuckModi1/status/1675212034755919872,https://mastodon.social/@UnicornRiot/110640824834933255,https://mastodon.social/@UnicornRiot/110624056432090392,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Atlanta,GA,Gresham Park,Reopen Weelaunee People's Park,,,,,,"for reopening Weelaunee People's Park, against construction of Cop City police training facility, for environmental conservation, against police brutality, against racism",1,bicycle ride,,,,,,,,,,every Saturday starting late June 2023,,https://t.me/DefendtheForestATL/2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Atlanta,GA,South River Forest,South River Music Festival,,,,,,"against construction of Cop City police training facility in Atlanta Forest, for environmental conservation, against police brutality, against racism",1,rally,,music festival,,,,,,,,,,https://www.instagram.com/p/CtsJAc_OgaE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Atlanta,GA,Woodruff Park,,,,,,,"against construction of Cop City police training facility in Atlanta Forest, for environmental conservation, against police brutality, against racism",1,march,,,,,,,,,,,,https://twitter.com/Soupformyfam404/status/1674867181559898135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Atlanta,GA,,,,,,,,"against construction of Cop City police training facility in Atlanta, for environmental conservation, against police brutality, against racism",1,direct action,,,,,,vandalized home; slashed car tires,,,,"home of APF board of trustees member Ambrish Baisiwala; date not specified, just says ""on a recent night"", so dating to day before post",,https://scenes.noblogs.org/post/2023/07/02/fun-with-friends-house-visits-vehicles-vandalized/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Atlanta,GA,,,,,,,,"against Norfolk Southern's support for construction of Cop City police training facility in Atlanta, for environmental conservation, against police brutality, against racism",1,direct action,,,,,,vandalized rail infrastructure,,,,"date not specified, just ""during last week of action"" with ""July 2023"", so arbitrarily assigning to 7/1",,https://unoffensiveanimal.is/2023/09/22/train-sabotaged-during-the-defend-the-atlanta-forest-week-of-action/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Berkeley,CA,"George and Mary Foster Anthropology Library, University of California Berkeley",,,,,By Any Means Necessary,,"against planned closure of Anthropology Library at University of California Berkeley, for quality public education",0,demonstration,,occupying library,,,,,,,,,,https://www.instagram.com/p/Cr_kaGqPZtA/,https://www.instagram.com/p/CsAokcBuHEZ/,https://www.instagram.com/p/CsCIUjsvo5-/,https://www.instagram.com/p/CsccrJlPeIM/,https://www.instagram.com/p/CuC80wAvsEC/,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Birmingham,AL,1019 1st Ave N,40 Week Journey of Hope,,,,Love Life,,"against abortion, for Christian values",2,rally,,prayer rally,,,,,,,,every Saturday from Feb 11 to Nov 11 2023,,https://lovelife.org/locations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Boise,ID,Ann Morrison Park,,,,,Boise Critical Mass,,"for safer streets for bicyclists, for community-building",0,bicycle ride,,,,,,,,,,first Saturday of every month,,https://www.instagram.com/criticalmassboise/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
